segment_nr,representation_nr,bitrate,start_time_msec,end_time_msec,delta_time_msec
1,6,1636587,7275,9284,2009
2,6,1636587,9294,11294,2000
3,6,1636587,11304,14881,3576
4,6,1636587,14890,23303,8412
5,6,1636587,23312,39135,15823
6,6,1636587,39145,49046,9900
7,6,1636587,49055,67692,18636
8,6,1636587,67701,79355,11653
9,6,1636587,79364,87548,8184
10,6,1636587,87558,96706,9147
11,6,1636587,96718,105988,9269
12,6,1636587,105997,114916,8919
13,6,1636587,114925,120948,6022
14,6,1636587,120956,127458,6501
15,6,1636587,127467,134194,6726
16,6,1636587,134202,140186,5984
17,6,1636587,140195,150315,10120
18,6,1636587,150325,158873,8548
19,6,1636587,158881,171968,13086
20,6,1636587,171977,179833,7856
21,6,1636587,179842,185845,6002
22,6,1636587,185854,195327,9472
23,6,1636587,195336,217367,22030
24,6,1636587,217376,244152,26775
25,6,1636587,244161,248526,4365
26,6,1636587,248535,250711,2175
27,6,1636587,250722,253370,2647
28,6,1636587,253379,255389,2010
29,6,1636587,255398,257408,2009
30,6,1636587,257418,259420,2001
31,6,1636587,259429,261439,2009
32,6,1636587,261449,263449,2000
33,6,1636587,263459,265469,2009
34,6,1636587,265478,267478,2000
35,6,1636587,267489,269489,2000
36,6,1636587,269498,271499,2001
37,6,1636587,271509,273509,2000
38,6,1636587,273520,275528,2008
39,6,1636587,275539,277539,2000
40,6,1636587,277549,279550,2000
41,6,1636587,279559,281569,2009
42,6,1636587,281578,283579,2000
43,6,1636587,283590,285599,2008
44,6,1636587,285610,287618,2008
45,6,1636587,287629,289629,2000
46,6,1636587,289640,291640,2000
47,6,1636587,291649,293660,2010
48,6,1636587,293669,295679,2009
49,6,1636587,295690,297699,2009
50,6,1636587,297709,299709,2000
51,6,1636587,299719,301720,2000
52,6,1636587,301729,303740,2010
53,6,1636587,303750,306495,2745
54,6,1636587,306503,309434,2930
55,6,1636587,309444,312009,2565
56,6,1636587,312018,315530,3511
57,6,1636587,315539,318425,2885
58,6,1636587,318434,322770,4335
59,6,1636587,322779,342732,19952
60,6,1636587,342742,366088,23345
61,6,1636587,366097,374135,8037
62,6,1636587,374144,376643,2498
63,6,1636587,376651,379735,3084
64,6,1636587,379744,381744,2000
65,6,1636587,381754,383754,2000
66,6,1636587,383764,385774,2010
67,6,1636587,385784,387784,2000
68,6,1636587,387794,389794,2000
69,6,1636587,389804,391804,2000
70,6,1636587,391814,393824,2009
71,6,1636587,393834,395844,2009
72,6,1636587,395854,397855,2000
73,6,1636587,397864,399864,2000
74,6,1636587,399874,401884,2009
75,6,1636587,401894,403894,2000
76,6,1636587,403904,405914,2009
77,6,1636587,405924,407934,2010
78,6,1636587,407944,409953,2009
79,6,1636587,409963,411964,2000
80,6,1636587,411974,413984,2009
81,6,1636587,413994,415994,2000
82,6,1636587,416003,418004,2000
83,6,1636587,418015,420024,2009
84,6,1636587,420034,422044,2009
85,6,1636587,422053,424054,2000
86,6,1636587,424064,426064,2000
87,6,1636587,426074,428084,2009
88,6,1636587,428094,430104,2009
89,6,1636587,430114,432114,2000
90,6,1636587,432124,434134,2009
91,6,1636587,434145,436155,2009
92,6,1636587,436164,438174,2009
93,6,1636587,438184,446770,8585
94,6,1636587,446779,450297,3518
95,6,1636587,450307,452307,2000
96,6,1636587,452316,456968,4652
97,6,1636587,456977,462350,5372
98,6,1636587,462359,467445,5085
99,6,1636587,467455,473230,5774
100,6,1636587,473240,486993,13753
101,6,1636587,487002,496422,9419
102,6,1636587,496431,503705,7273
103,6,1636587,503714,510836,7121
104,6,1636587,510846,515281,4435
105,6,1636587,515290,519797,4506
106,6,1636587,519806,523855,4049
107,6,1636587,523865,525874,2009
108,6,1636587,525884,527895,2010
109,6,1636587,527905,529914,2009
110,6,1636587,529924,531925,2000
111,6,1636587,531934,533935,2000
112,6,1636587,533945,535955,2009
113,6,1636587,535964,537965,2000
114,6,1636587,537975,539975,2000
115,6,1636587,539985,541995,2009
116,6,1636587,542005,544015,2009
117,6,1636587,544025,546035,2009
118,6,1636587,546045,548054,2009
119,6,1636587,548064,550064,2000
120,6,1636587,550075,552085,2009
121,6,1636587,552095,554095,2000
122,6,1636587,554105,556105,2000
123,6,1636587,556115,558124,2009
124,6,1636587,558135,560145,2010
125,6,1636587,560155,562165,2009
126,6,1636587,562175,564184,2008
127,6,1636587,564195,566205,2009
128,6,1636587,566214,568215,2000
129,6,1636587,568224,573286,5061
130,6,1636587,573296,579582,6286
131,6,1636587,579591,582694,3102
132,6,1636587,582703,585166,2463
133,6,1636587,585176,587900,2724
134,6,1636587,587909,590173,2263
135,6,1636587,590182,597981,7799
136,6,1636587,597990,616905,18914
137,6,1636587,616914,631922,15008
138,6,1636587,631932,643417,11485
139,6,1636587,643426,649913,6487
140,6,1636587,649923,653296,3373
141,6,1636587,653305,655306,2000
142,6,1636587,655316,657325,2009
143,6,1636587,657336,659345,2009
144,6,1636587,659355,661356,2000
145,6,1636587,661365,663366,2001
146,6,1636587,663375,665375,2000
147,6,1636587,665386,667396,2009
148,6,1636587,667408,669416,2008
149,6,1636587,669425,671435,2009
